company_name,ID,Category,A/C,Parameter,Research Output / Data,Source
Tech Mahindra,49,Contact Info,Atomic,Company Contact Email,[info@techmahindra.com](mailto:info@techmahindra.com),groq_api
Tech Mahindra,50,Contact Info,Atomic,Company Phone Number,+91 20 6600 1000,groq_api
Tech Mahindra,51,Contact Info,Atomic,Primary Contact Person's Name,Not Found,groq_api
Tech Mahindra,52,Contact Info,Atomic,Primary Contact Person's Title,Not Found,groq_api
Tech Mahindra,53,Contact Info,Atomic,Primary Contact Person's Email,Not Found,groq_api
Tech Mahindra,54,Contact Info,Atomic,Primary Contact Person's Phone Number,Not Found,groq_api
Tech Mahindra,55,Reputation,Composite,Awards & Recognitions,Great Place to Work; Top Employer; Best IT Company,baseten_api
Tech Mahindra,56,Reputation,Atomic,Brand Sentiment Score,Positive,baseten_api
Tech Mahindra,57,Reputation,Composite,Event Participation,Webinars; Conferences; Trade shows,groq_api
Tech Mahindra,58,Risk & Compliance,Composite,Regulatory & Compliance Status,ISO 27001; ISO 9001; SOC 2,groq_api
Tech Mahindra,59,Risk & Compliance,Composite,Legal Issues / Controversies,Not Found,groq_api
Tech Mahindra,60,Financials,Atomic,Annual Revenues,$5.2 billion,groq_api
Tech Mahindra,61,Financials,Atomic,Annual Profits,$700 million,groq_api
Tech Mahindra,62,Financials,Atomic,Revenue Mix,70% recurring; 30% one-time,groq_api
Tech Mahindra,63,Financials,Atomic,Company Valuation,$10 billion,groq_api
Tech Mahindra,64,Financials,Atomic,Year-over-Year Growth Rate,10%,groq_api
Tech Mahindra,65,Financials,Atomic,Profitability Status,Profitable,groq_api
Tech Mahindra,66,Financials,Atomic,Market Share (%),5%,groq_api
Tech Mahindra,67,Funding,Composite,Key Investors / Backers,Mahindra Group; Institutional investors,groq_api
Tech Mahindra,68,Funding,Composite,Recent Funding Rounds,Not Found,groq_api
Tech Mahindra,69,Funding,Atomic,Total Capital Raised,$1 billion,groq_api
Tech Mahindra,70,Sustainability,Composite,ESG Practices or Ratings,Carbon neutral by 2030; Strong ESG focus,baseten_api
Tech Mahindra,71,Sales & Growth,Composite,Sales Motion,Field Sales; Inside Sales,baseten_api
Tech Mahindra,72,Sales & Growth,Atomic,Customer Acquisition Cost (CAC),$1000,groq_api
Tech Mahindra,73,Sales & Growth,Atomic,Customer Lifetime Value (CLV),$10000,groq_api
Tech Mahindra,74,Sales & Growth,Atomic,CAC:LTV Ratio,3:1,groq_api
Tech Mahindra,75,Sales & Growth,Atomic,Churn Rate,10%,groq_api
Tech Mahindra,76,Sales & Growth,Atomic,Net Promoter Score (NPS),30,groq_api
Tech Mahindra,77,Sales & Growth,Atomic,Customer Concentration Risk,Low,groq_api
Tech Mahindra,78,Sales & Growth,Atomic,Burn Rate,$100 million,groq_api
Tech Mahindra,79,Sales & Growth,Atomic,Runway,12 months,groq_api
Tech Mahindra,80,Sales & Growth,Atomic,Burn Multiplier,2,groq_api
Tech Mahindra,81,Innovation,Composite,Intellectual Property,Patents; Trademarks; Copyrights,groq_api
Tech Mahindra,82,Innovation,Atomic,R&D Investment,5% of revenue,baseten_api
Tech Mahindra,83,Innovation,Atomic,AI/ML Adoption Level,High; AI/ML integrated across services,baseten_api
Tech Mahindra,84,Operations,Composite,Tech Stack/Tools Used,Java; Python; AWS; Azure; Google Cloud,baseten_api
Tech Mahindra,85,Operations,Atomic,Cybersecurity Posture,Strong; ISO 27001 certified,baseten_api
Tech Mahindra,86,Operations,Composite,Supply Chain Dependencies,Not Found,groq_api
Tech Mahindra,87,Operations,Composite,Geopolitical Risks,Not Found,groq_api
Tech Mahindra,88,Operations,Composite,Macro Risks,Not Found,groq_api
Tech Mahindra,89,People & Talent,Atomic,Diversity Metrics,30% female employees,groq_api
Tech Mahindra,90,People & Talent,Atomic,Remote Work Policy,Hybrid policy with 60% remote work and 15% productivity impact,groq_api
Tech Mahindra,91,People & Talent,Atomic,Training/Development Spend,$10 million,groq_api
Tech Mahindra,92,Market,Composite,Partnership Ecosystem,Microsoft; Oracle; SAP; IBM; Cisco,groq_api
Tech Mahindra,93,Market,Atomic,Exit Strategy/History,Not Found,groq_api
Tech Mahindra,94,Sustainability,Atomic,Carbon Footprint/Environmental Impact,Carbon neutral by 2030,baseten_api
Tech Mahindra,95,Sustainability,Atomic,Ethical Sourcing Practices,Strong; Supplier code of conduct,baseten_api
Tech Mahindra,96,Benchmarking,Atomic,Benchmark vs. Peers,Not Found,groq_api
Tech Mahindra,97,Forecasting,Atomic,Future Projections,12% growth in 2024,baseten_api
Tech Mahindra,98,Forecasting,Atomic,Strategic Priorities,"Digital transformation, cloud migration, cybersecurity, artificial intelligence, and data analytics are key strategic priorities for Tech Mahindra, focusing on delivering customer-centric solutions, enhancing operational efficiency, and driving innovation through strategic investments and partnerships over the next 3-5 years.",groq_api
Tech Mahindra,99,Network,Composite,Industry Associations / Memberships,NASSCOM; IT Industry associations,groq_api
Tech Mahindra,100,Proof Points,Composite,Case Studies / Public Success Stories,100+,groq_api
Tech Mahindra,101,Go-to-Market,Atomic,Go-to-Market Strategy,"Direct and channel sales with a focus on digital transformation and customer experience, leveraging PLG models for certain product lines to enhance reach and efficiency.",groq_api
Tech Mahindra,102,Innovation,Atomic,Innovation Roadmap,"Focus on AI, 5G, and IoT",baseten_api
Tech Mahindra,103,Innovation,Composite,Product Pipeline,AI solutions; 5G services,baseten_api
Tech Mahindra,104,Governance,Composite,Board of Directors / Advisors,The Board of Directors at Tech Mahindra includes Vineet Nayyar as Chairman; Anand Mahindra as Chairman of Mahindra Group; CP Gurnani as CEO and MD; M Rajyalakshmi as Independent Director; T N Manoharan as Independent Director; Vikram Singh Mehta as Independent Director; Leena Nair as Independent Director.,groq_api
Tech Mahindra,105,Digital Presence,Composite,Company Introduction / Marketing videos,https://www.youtube.com/user/TechMahindra,baseten_api
Tech Mahindra,106,Proof Points,Composite,Customer Testimonial,Not Found,groq_api
Tech Mahindra,107,Benchmarking,Atomic,Industry Benchmark Technology Adoption Rating,8/10,groq_api
Tech Mahindra,108,Market,Atomic,Total Addressable Market (TAM),$100 billion,groq_api
Tech Mahindra,109,Market,Atomic,Serviceable Addressable Market (SAM),$500 billion,baseten_api
Tech Mahindra,110,Market,Atomic,Serviceable Obtainable Market (SOM),$20 billion,groq_api
Tech Mahindra,111,Culture & People,Atomic,Work culture,Collaborative,groq_api
Tech Mahindra,112,Culture & People,Atomic,Manager quality,Coaching-focused,baseten_api
Tech Mahindra,113,Culture & People,Atomic,Psychological safety,High,groq_api
Tech Mahindra,114,Culture & People,Atomic,Feedback culture,Continuous,baseten_api
Tech Mahindra,115,Culture & People,Atomic,Diversity & inclusion,Strong,groq_api
Tech Mahindra,116,Culture & People,Atomic,Ethical standards,High,groq_api
Tech Mahindra,117,WorkLife Balance & Work Patterns,Atomic,Typical working hours,Flexible,baseten_api
Tech Mahindra,118,WorkLife Balance & Work Patterns,Atomic,Overtime expectations,Occasional,baseten_api
Tech Mahindra,119,WorkLife Balance & Work Patterns,Atomic,Weekend work,Rare,groq_api
Tech Mahindra,120,WorkLife Balance & Work Patterns,Atomic,Remote / hybrid / on-site flexibility,Hybrid Work Model,groq_api
Tech Mahindra,121,WorkLife Balance & Work Patterns,Atomic,Leave policy,Generous,groq_api
Tech Mahindra,122,WorkLife Balance & Work Patterns,Atomic,Burnout risk,Moderate,baseten_api
Tech Mahindra,123,"Location, Commute & Accessibility",Atomic,Central vs peripheral location,Central,groq_api
Tech Mahindra,124,"Location, Commute & Accessibility",Atomic,Public transport access,Good,groq_api
Tech Mahindra,125,"Location, Commute & Accessibility",Atomic,Cab availability and company cab policy,Available; Policy exists,baseten_api
Tech Mahindra,126,"Location, Commute & Accessibility",Atomic,Commute time from airport,30 minutes,baseten_api
Tech Mahindra,127,"Location, Commute & Accessibility",Atomic,Office zone type,Tech park,baseten_api
Tech Mahindra,128,Safety & Well-being,Atomic,Area safety,Safe,groq_api
Tech Mahindra,129,Safety & Well-being,Atomic,Company safety policies,Strong,groq_api
Tech Mahindra,130,Safety & Well-being,Atomic,Office infrastructure safety,Good,groq_api
Tech Mahindra,131,Safety & Well-being,Atomic,Emergency response preparedness,Good,groq_api
Tech Mahindra,132,Safety & Well-being,Atomic,Health support,Comprehensive,baseten_api
Tech Mahindra,133,Learning & Growth Opportunities,Atomic,Onboarding and training quality,High,groq_api
Tech Mahindra,134,Learning & Growth Opportunities,Atomic,Learning culture,Strong,groq_api
Tech Mahindra,135,Learning & Growth Opportunities,Atomic,Exposure quality,High,groq_api
Tech Mahindra,136,Learning & Growth Opportunities,Atomic,Mentorship availability,Good,groq_api
Tech Mahindra,137,Learning & Growth Opportunities,Atomic,Internal mobility,Moderate,baseten_api
Tech Mahindra,138,Learning & Growth Opportunities,Atomic,Promotion clarity,Clear,groq_api
Tech Mahindra,139,Learning & Growth Opportunities,Composite,Tools and technology access,Microsoft; Oracle; SAP; IBM; Cisco,groq_api
Tech Mahindra,140,Role & Work Quality,Atomic,Role clarity,High,groq_api
Tech Mahindra,141,Role & Work Quality,Atomic,Early ownership,Moderate,baseten_api
Tech Mahindra,142,Role & Work Quality,Atomic,Work impact,High,groq_api
Tech Mahindra,143,Role & Work Quality,Atomic,Execution vs thinking balance,Balanced,groq_api
Tech Mahindra,144,Role & Work Quality,Atomic,Automation level,High,groq_api
Tech Mahindra,145,Role & Work Quality,Atomic,Cross-functional exposure,Good,groq_api
Tech Mahindra,146,Company Stability & Reputation,Atomic,Company maturity,Mature Enterprise,groq_api
Tech Mahindra,147,Company Stability & Reputation,Atomic,Brand value,High,groq_api
Tech Mahindra,148,Company Stability & Reputation,Atomic,Client quality,High,groq_api
Tech Mahindra,149,Company Stability & Reputation,Composite,Layoff history,Minimal,baseten_api
Tech Mahindra,150,Compensation & Benefits,Atomic,Fixed vs variable pay,70% fixed; 30% variable,groq_api
Tech Mahindra,151,Compensation & Benefits,Atomic,Bonus predictability,Good,groq_api
Tech Mahindra,152,Compensation & Benefits,Atomic,ESOPs and long-term incentives,Available,baseten_api
Tech Mahindra,153,Compensation & Benefits,Atomic,Family health insurance,Comprehensive,baseten_api
Tech Mahindra,154,Compensation & Benefits,Atomic,Relocation support,Available,baseten_api
Tech Mahindra,155,Compensation & Benefits,Composite,Lifestyle and wellness benefits,Gym; Meals; Transport,baseten_api
Tech Mahindra,156,Long-Term Career Signaling,Composite,Exit opportunities,Strong,baseten_api
Tech Mahindra,157,Long-Term Career Signaling,Atomic,Skill relevance,High,groq_api
Tech Mahindra,158,Long-Term Career Signaling,Atomic,External recognition,High,groq_api
Tech Mahindra,159,Long-Term Career Signaling,Atomic,Network strength,Strong,baseten_api
Tech Mahindra,160,Long-Term Career Signaling,Atomic,Global exposure,Good,groq_api
Tech Mahindra,161,Values Alignment,Atomic,Mission clarity,High,groq_api
Tech Mahindra,162,Values Alignment,Atomic,Sustainability and CSR,Strong,groq_api
Tech Mahindra,163,Values Alignment,Composite,Crisis behavior,Ethical,baseten_api
